"id","organization_id","name","alternate_name","description","transportation","latitude","longitude","location_services","location_phones","location_details","location_schedule","location_address","location_tag","enrich_flag","flag"
"538977790426516","1222701888984669","Sasha Bruce - Independent Living Program","","","","38.8901671","-76.9876558","1247609265512489","603002809602031","","","925088886359493","","",""
"541907027325035","1189940866829310","SHARE Food Network Main Office","","","","38.9288531","-76.8740779","1279531428850596","777650091270925,644017795337557","","809673369078084","1147438245453131","","",""
"547101019208237","0","1251-B Saratoga Ave NE Washington, DC, 20018, US","","","","38.9216262","-76.9892376","","1352422279870633","","1338861885601103,1338861885601104,1338861885601105,1338861885601106,1338861885601107,1338861885601108,1338861885601109,1338861885601110","1347874758673672","","",""
"557042258022055","965244460063048","Byte Back","","","","38.9010559","-77.0085403","610393181590401,621922475876912","626911642105346","","","594041340982660","","",""
"555733908618539","1351080129222821","Isaiah House","","","","37.8073428","-85.1309596","1223343952721664","1352422279870626","","1338861885603225","1347874758673708","","",""
"557094579799532","1091742936273498","Engine 15 Station","","","","29.9252554","-90.1167877","1278346715900586,608659423860858","712245272441801","","","607535323277785","","",""
"566932797594098","758358330691109","Contemporary Family Services - DC Georgia Ave","","","","38.9669177","-77.0270752","924549516555160,1015257402861824,1200612658418419","1275875687653401","","1338861885601251","1007422500157066","","",""
"569762980024499","1151840654132771","HSC Pediatric Center","","","","38.9410221","-76.9812464","1251282400091320,643883051065479,1300815691678453,634331653721930,739110335088609,1125189538542481,1262432728139962,859784781707721,919789306976808,1340874883349935,1117866913583560,1216919996503351,809925333569605,1281760748874328,768577653576222","763123579248149","","","758202120336301","","",""
"572608168009697","894973668784309","1201 New York Avenue NW Washington, DC 20005","","","","38.9007958","-77.0285713","569993365952063","1116968298179926","","","646572968848504","","",""
"580105202701779","1189929745395085","7603 Georgia Avenue Nw Washington, DC 20012","","","","38.9819508","-77.026198","1145378947399920","1096440350605668","","","620656622047666","","",""
"597782883329806","1180009592526991","1234 Massachuettes Avenue NW Washington, DC 20005","","","","38.9043273","-77.0291448","767372962284323","1052461018117943","","","","","",""
"553317561400491","1098153529407228","2041 Georgia Avenue NW Washington, DC 20060","","","","38.9175305","-77.0204417","897612626354041","1284668993888789","","1338861885603424","985764934104319","","",""
"562543524311596","1329764475795847","DC Health and Wellness Center","","","","38.9093349","-77.0068364","770578690423338","1352422279870741","","","1136635922647218","","",""
