"id","Timestamp","Organization","User","Event","Data Type","Field Type","Change From","Change To","Record ID"
"112","08-05-2021 11:05:16","","admin","created","Contact","contact_phones","","08200594004","96"
"113","08-05-2021 11:05:16","","admin","created","Service","service_locations","","","1112"
"113","08-05-2021 11:05:16","","admin","created","Service","service_taxonomy","","","1112"
"113","08-05-2021 11:05:16","","admin","created","Service","service_phones","","","1112"
"113","08-05-2021 11:05:16","","admin","created","Service","service_contacts","","amit solanki","1112"
"113","08-05-2021 11:05:16","","admin","created","Service","service_details","","","1112"
"111","08-05-2021 10:56:28","","admin","created","Service","service_locations","","","1111"
"111","08-05-2021 10:56:28","","admin","created","Service","service_taxonomy","","","1111"
"111","08-05-2021 10:56:28","","admin","created","Service","service_phones","","","1111"
"111","08-05-2021 10:56:28","","admin","created","Service","service_contacts","","","1111"
"111","08-05-2021 10:56:28","","admin","created","Service","service_details","","","1111"
"110","08-05-2021 10:42:22","","admin","created","Service","service_locations","","","1110"
"110","08-05-2021 10:42:22","","admin","created","Service","service_taxonomy","","","1110"
"110","08-05-2021 10:42:22","","admin","created","Service","service_phones","","","1110"
"110","08-05-2021 10:42:22","","admin","created","Service","service_contacts","","","1110"
"110","08-05-2021 10:42:22","","admin","created","Service","service_details","","","1110"
"109","08-05-2021 10:37:26","","admin","created","Service","service_locations","","","1109"
"109","08-05-2021 10:37:26","","admin","created","Service","service_taxonomy","","","1109"
"109","08-05-2021 10:37:26","","admin","created","Service","service_phones","","","1109"
"109","08-05-2021 10:37:26","","admin","created","Service","service_contacts","","","1109"
"109","08-05-2021 10:37:26","","admin","created","Service","service_details","","","1109"
"108","07-05-2021 18:40:01","","admin","deleted","Service","id","979","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_recordid","1280097613047736","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_name","“Socking” It to Winter","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_alternate_name","","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_organization","1235669446637932","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_description","Did you know that donating white tube socks can help save lives? In addition to providing transportation services to DC’s homeless population, our Shelter Hotline provides comfort items such as socks to keep the homeless protected during times of extreme cold. Why white socks? Because cold temperatures can cause hypothermia and other serious health problems—and white socks make it easier for healthcare professionals to identify signs of infection, frostbite, and other foot ailments.","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_locations","683981038233399,1288442867873978","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_url","https://www.upo.org/communitywellness/","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_email","","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_status","Verified","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","access_requirement","none","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_taxonomy","1211420433536032","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_application_process","Call if you are in need or want to donate.","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_wait_time","","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_fees","","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_accreditations","","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_licenses","","","1280097613047736"
"108","07-05-2021 18:40:01","","admin","deleted","Service","service_phones","815987000661681,647740637781961,1146948727790243","","1280097613047736"
